Date,Open,High,Low ,Close,Adj. Close,Volume
"Jan 3, 2025","97,710.00","99,920.00","96,770.00","99,230.00","99,230.00","8,727"
"Jan 2, 2025","95,270.00","98,735.00","94,830.00","98,190.00","98,190.00","8,727"
"Dec 31, 2024","93,280.00","97,010.00","92,615.00","94,120.00","94,120.00","5,745"
"Dec 30, 2024","93,995.00","95,580.00","91,735.00","94,955.00","94,955.00","8,813"
"Dec 27, 2024","95,785.00","97,045.00","94,450.00","94,568.30","94,568.30","7,880"
"Dec 26, 2024","98,555.00","99,995.00","95,095.00","95,525.00","95,525.00","8,202"
"Dec 24, 2024","95,015.00","99,685.00","93,545.00","99,100.00","99,100.00","10,649"
"Dec 23, 2024","95,730.00","96,595.00","92,460.00","93,270.00","93,270.00","14,664"
"Dec 20, 2024","98,415.00","98,435.00","92,355.00","96,600.00","96,600.00","20,236"
"Dec 19, 2024","101,385.00","103,190.00","95,765.00","96,505.00","96,505.00","19,910"
"Dec 18, 2024","106,500.00","106,960.00","100,325.00","100,870.00","100,870.00","18,669"
"Dec 17, 2024","106,395.00","108,960.00","106,000.00","107,190.00","107,190.00","11,429"
"Dec 16, 2024","103,670.00","108,475.00","103,670.00","106,560.00","106,560.00","15,357"
"Dec 13, 2024","100,875.00","102,605.00","99,620.00","102,300.00","102,300.00","11,146"
"Dec 12, 2024","102,000.00","103,225.00","99,775.00","100,405.00","100,405.00","12,579"
"Dec 11, 2024","97,550.00","102,465.00","96,290.00","102,150.00","102,150.00","13,648"
"Dec 10, 2024","97,490.00","98,985.00","94,785.00","96,975.00","96,975.00","11,149"
"Dec 9, 2024","101,300.00","102,265.00","94,640.00","96,790.00","96,790.00","14,138"
"Dec 6, 2024","97,320.00","102,990.00","96,155.00","102,435.00","102,435.00","11,218"
"Dec 5, 2024","99,390.00","105,325.00","98,610.00","99,775.00","99,775.00","19,550"
"Dec 4, 2024","97,040.00","100,280.00","95,390.00","99,915.00","99,915.00","13,087"
"Dec 3, 2024","96,380.00","97,395.00","94,435.00","96,535.00","96,535.00","9,601"
"Dec 2, 2024","98,875.00","99,565.00","95,270.00","96,635.00","96,635.00","12,122"
"Nov 29, 2024","96,415.00","98,560.00","94,760.00","98,339.76","98,339.76","9,278"
"Nov 27, 2024","91,695.00","97,500.00","91,475.00","96,785.00","96,785.00","10,755"
"Nov 26, 2024","94,350.00","95,225.00","90,785.00","90,995.00","90,995.00","15,780"
"Nov 25, 2024","98,555.00","99,275.00","93,490.00","94,945.00","94,945.00","18,093"
"Nov 22, 2024","98,860.00","100,170.00","97,430.00","99,485.00","99,485.00","17,264"
"Nov 21, 2024","94,665.00","99,575.00","94,290.00","98,735.00","98,735.00","20,641"
"Nov 20, 2024","92,330.00","95,565.00","92,005.00","94,740.00","94,740.00","13,156"
"Nov 19, 2024","91,840.00","94,715.00","90,770.00","93,060.00","93,060.00","14,591"
"Nov 18, 2024","90,195.00","93,215.00","89,755.00","92,060.00","92,060.00","12,505"
"Nov 15, 2024","87,970.00","92,350.00","87,005.00","91,985.00","91,985.00","12,201"
"Nov 14, 2024","89,990.00","92,335.00","87,345.00","87,920.00","87,920.00","12,045"
